Address,City,ZIP Code,Township,Property Class Code,Neighborhood ID,Date Last Transferred,Sidewalks,Total Adj Value,Owner State,Owner ZIP Code
6027 WINTHROP AV,INDIANAPOLIS,46220-0000,0008,510,803675215,04/18/2016,N,321300,IN,46220-1941,
5435 CENTRAL AV,INDIANAPOLIS,46220-0000,0008,510,803075210,12/15/2016,N,576900,IN,46220-3042,
5656 WINTHROP AV,INDIANAPOLIS,46220-0000,0008,510,802775196,,N,248300,IN,46220-4901,
5217 FALL CREEK RD,INDIANAPOLIS,46220-0000,0004,510,404182174,,N,560200,IN,46220-5048,
6188 KINGSLEY DR,INDIANAPOLIS,46220-0000,0008,510,802181205,11/06/2014,Y,476400,IN,46220-2344,
6750 SPIRIT LAKE DR,INDIANAPOLIS,46220-0000,0008,550,802272107,,N,284700,IN,46220-0000,
937 JUNCTION PL,INDIANAPOLIS,46220-0000,0008,550,824372220,05/21/2018,N,283300,IN,46240-2100,
1138 RESERVE WA,INDIANAPOLIS,46220-0000,0008,550,824472153,10/16/2015,N,289800,IN,46220-1769,
1111 RESERVE WA,INDIANAPOLIS,46220-0000,0008,550,824472153,07/31/2012,N,178900,IN,46220-1796,
1215 WESTFIELD CT,INDIANAPOLIS,46220-0000,0008,510,802376225,07/03/2018,N,339800,IN,46220-1119,
6140 N EMERSON AV,INDIANAPOLIS,46220-0000,0004,510,403982139,12/27/2018,N,152500,IN,46220-5340,
5914 WYCOMBE LN,INDIANAPOLIS,46220-0000,0004,510,404182174,,N,368800,IN,46220-5371,
5868 WYCOMBE LN,INDIANAPOLIS,46220-0000,0004,510,404182174,,N,522500,IN,46220-5369,
5836 WYCOMBE LN,INDIANAPOLIS,46220-0000,0004,510,404182174,,N,593400,IN,46240-4341,
6676 CORNELL AV,INDIANAPOLIS,46220-0000,0008,550,824372220,04/26/2017,N,285300,IN,46220-1145,
5302 E 70TH ST,INDIANAPOLIS,46220-0000,0008,510,801166130,,N,208200,IN,46220-3834,
5538 N PENNSYLVANIA ST,INDIANAPOLIS,46220-0000,0008,510,802575130,04/26/2012,N,770700,IN,46220-0000,
6372 GUILFORD AV,INDIANAPOLIS,46220-0000,0008,429,8429303,10/09/2013,N,219000,IN,46220-1750,
5251 N DELAWARE ST,INDIANAPOLIS,46220-0000,0008,510,802275235,,N,331500,IN,46220-3044,
5832 N WASHINGTON BL,INDIANAPOLIS,46220-0000,0008,510,803275225,05/28/2013,N,499000,IN,46220-2543,
5337 N COLLEGE AV,INDIANAPOLIS,46220-0000,0008,510,832475183,,N,95200,IN,46220-3139,
5351 BROADWAY ST,INDIANAPOLIS,46220-0000,0008,510,832375211,05/16/2019,N,240800,IN,46280-1191,
725 E 58TH ST,INDIANAPOLIS,46220-0000,0008,510,803275225,,N,558400,IN,46220-2601,
5222 N WASHINGTON BL,INDIANAPOLIS,46220-0000,0008,510,802275235,12/16/2016,N,644900,IN,46220-3061,
5235 CARROLLTON AV,INDIANAPOLIS,46220-0000,0008,510,842475194,06/10/2011,N,166600,IN,46220-3116,
1014 RESERVE WA,INDIANAPOLIS,46220-0000,0008,550,824472153,04/21/2010,N,270400,IN,46220-0000,
5347 N COLLEGE AV,INDIANAPOLIS,46220-0000,0008,550,806072215,07/15/2014,N,114200,IN,46220-3173,
5347 N COLLEGE AV,INDIANAPOLIS,46220-0000,0008,550,806072215,12/31/2018,N,114200,IN,46220-3175,
4740 E 62ND ST,INDIANAPOLIS,46220-0000,0008,500,801177133,12/04/2013,N,7700,IN,46220-5234,
6024 WEXFORD RD,INDIANAPOLIS,46220-0000,0004,510,403982139,,N,159400,IN,46220-5365,
6136 RUCKER RD,INDIANAPOLIS,46220-0000,0004,510,403982139,12/17/2015,N,216200,IN,46220-5066,
5659 E 62ND PL,INDIANAPOLIS,46220-0000,0004,510,403982139,,N,322100,IN,46220-4901,
6225 GRAHAM RD,INDIANAPOLIS,46220-0000,0004,500,403982139,02/28/2012,N,10400,IN,46220-4939,
6319 GRAHAM RD,INDIANAPOLIS,46220-0000,0004,500,403982139,12/13/2016,N,2500,IN,46220-4941,
6349 BROKENHURST RD,INDIANAPOLIS,46220-0000,0004,510,403982139,12/12/2017,N,181500,IN,46220-4933,
5846 ASHURST ST,INDIANAPOLIS,46220-0000,0004,510,403982139,,N,163800,IN,46220-4980,
6422 BREAMORE RD,INDIANAPOLIS,46220-0000,0004,510,403982139,,N,286200,IN,46220-4920,
7031 CRICKLEWOOD RD,INDIANAPOLIS,46220-0000,0004,510,403382131,,N,245800,IN,46220-4118,
6857 N RURAL ST,INDIANAPOLIS,46220-0000,0008,511,815077150,07/12/2017,N,113000,IN,46256-9597,
6915 N OXFORD ST,INDIANAPOLIS,46220-0000,0008,510,802269135,,N,133200,IN,46220-2250,
1660 KESSLER BLVD E DR,INDIANAPOLIS,46220-0000,0008,686,830151100,12/22/2008,N,1269500,IN,46220-2782,
5235 E 68TH ST,INDIANAPOLIS,46220-0000,0008,510,801166130,02/11/2015,N,183900,IN,46220-3930,
5129 E 68TH ST,INDIANAPOLIS,46220-0000,0008,510,801166130,,N,242000,IN,46220-3926,
5041 E 66TH ST,INDIANAPOLIS,46220-0000,0008,510,801166130,,N,215500,IN,46220-3951,
5628 ASHURST ST,INDIANAPOLIS,46220-0000,0008,510,801166130,09/20/2016,N,299200,IN,46220-4976,
6428 BRAMSHAW RD,INDIANAPOLIS,46220-0000,0008,510,801166130,10/21/2010,N,184400,SC,29407-2253,
6262 BRAMSHAW RD,INDIANAPOLIS,46220-0000,0008,510,801166130,,N,353400,IN,46220-4912,
6249 GRAHAM RD,INDIANAPOLIS,46220-0000,0008,510,801166130,,N,281800,IN,46220-4937,
6419 GRAHAM RD,INDIANAPOLIS,46220-0000,0008,510,801166130,12/21/2015,N,260300,IN,46220-4991,
5654 N WASHINGTON BL,INDIANAPOLIS,46220-0000,0008,510,802975181,,N,409000,IN,46220-3032,
5831 N PENNSYLVANIA ST,INDIANAPOLIS,46220-0000,0008,510,803275225,,N,457500,IN,46220-2536,
5321 CARROLLTON AV,INDIANAPOLIS,46220-0000,0008,510,822475175,01/04/2016,N,158400,IN,46220-3118,
5634 WINTHROP AV,INDIANAPOLIS,46220-0000,0008,510,812775225,11/01/2012,N,129000,IN,46220-3251,
631 E 57TH ST,INDIANAPOLIS,46220-0000,0008,510,803075210,07/08/2011,N,374900,IN,46220-0000,
6415 LANDBOROUGH S DR,INDIANAPOLIS,46220-0000,0004,510,403582135,,N,345200,IN,46220-4352,
6216 LANDBOROUGH N DR,INDIANAPOLIS,46220-0000,0004,510,403582135,,N,402600,IN,46220-4347,
6616 HYTHE RD,INDIANAPOLIS,46220-0000,0004,510,403382131,04/08/2015,N,230800,IN,46220-4221,
6915 CHALCOT CI,INDIANAPOLIS,46220-0000,0004,510,403382131,05/28/2015,N,207900,IN,46220-4202,
5525 ALLISONVILLE RD,INDIANAPOLIS,46220-0000,0008,510,801974195,06/29/2017,N,209700,IN,46220-5548,
6640 E 65TH ST,INDIANAPOLIS,46220-0000,0004,510,403582135,08/03/2010,N,283700,IN,46220-0000,
6467 JOHNSON RD,INDIANAPOLIS,46220-0000,0004,510,435082150,,N,325000,IN,46220-4310,
5730 GUILFORD AV,INDIANAPOLIS,46220-0000,0008,510,803275225,05/27/2009,N,387200,FL,34683-1471,
6733 RIVERVIEW DR,INDIANAPOLIS,46220-0000,0008,510,802488202,11/27/2017,N,248500,IN,46220-1628,
6105 INDIANOLA AV,INDIANAPOLIS,46220-0000,0008,510,802178185,,N,209100,IN,46220-2013,
6157 CARROLLTON AV,INDIANAPOLIS,46220-0000,0008,510,803275225,,N,209700,IN,46220-1967,
1727 BROAD RIPPLE AV,INDIANAPOLIS,46220-0000,0008,510,802181205,11/09/2017,N,198200,IN,46220-2337,
6707 MARMONT CI,INDIANAPOLIS,46220-0000,0004,510,403382131,,N,274900,IN,46220-4230,
5850 N PARKER AV,INDIANAPOLIS,46220-0000,0008,510,802166150,04/18/2018,N,275700,IN,46220-2928,
5328 ROSSLYN AV,INDIANAPOLIS,46220-0000,0008,510,802079190,02/13/2018,N,200700,IN,46220-3322,
5230 PRIMROSE AV,INDIANAPOLIS,46220-0000,0008,510,802079190,,N,184100,IN,46220-3315,
6021 GLADDEN DR,INDIANAPOLIS,46220-0000,0008,510,802470157,,N,151000,IN,46220-2567,
6238 EVANSTON AV,INDIANAPOLIS,46220-0000,0008,510,802271150,12/06/2018,N,193400,IN,46220-2112,
2801 E 71ST ST,INDIANAPOLIS,46220-0000,0008,511,815077150,10/21/2016,N,127600,IN,46220-2201,
6826 E 65TH ST,INDIANAPOLIS,46220-0000,0004,510,403582135,,N,242200,IN,46220-4303,
6840 CHAUCER CT,INDIANAPOLIS,46220-0000,0004,510,403582135,07/20/2012,N,255900,IN,46220-0000,
6852 MARMONT CT,INDIANAPOLIS,46220-0000,0004,510,403582135,,N,249000,IN,46220-4234,
5818 N OAKLAND AV,INDIANAPOLIS,46220-0000,0008,510,802166150,,N,165500,IN,46220-5416,
2817 E 67TH ST,INDIANAPOLIS,46220-0000,0008,510,802271150,,N,154100,IN,46220-2234,
2707 E 67TH ST,INDIANAPOLIS,46220-0000,0008,510,802271150,,N,118300,IN,46220-2282,
2815 CANTERBURY LN,INDIANAPOLIS,46220-0000,0008,510,802271150,09/18/2015,N,133400,IN,46220-2242,
5750 N PENNSYLVANIA ST,INDIANAPOLIS,46220-0000,0008,510,803174175,,N,307200,IN,46220-2537,
6178 ROSSLYN AV,INDIANAPOLIS,46220-0000,0008,510,802178185,03/17/2010,N,218700,IN,46220-0000,
6177 N DELAWARE ST,INDIANAPOLIS,46220-0000,0008,510,802488202,04/17/2013,N,204700,IN,46220-1821,
5653 N WASHINGTON BL,INDIANAPOLIS,46220-0000,0008,510,842975255,06/09/2014,N,825600,IN,46220-3031,
5255 N PARK AV,INDIANAPOLIS,46220-0000,0008,510,832375211,12/01/2014,N,306900,IN,46220-3052,
5107 FALL CREEK RD,INDIANAPOLIS,46220-0000,0004,510,404182174,11/27/2017,N,405500,IN,46220-5048,
5225 FALL CREEK RD,INDIANAPOLIS,46220-0000,0004,510,404182174,06/09/2014,N,393400,IN,46220-0000,
6064 ORCHARD HILL LN,INDIANAPOLIS,46220-0000,0004,500,403982139,,N,2400,IN,46220-0000,
3208 E 52ND ST,INDIANAPOLIS,46220-0000,0008,510,802069145,07/02/2015,N,434900,IN,46205-1557,
5550 ALLISONVILLE RD,INDIANAPOLIS,46220-0000,0008,510,802069145,,N,423700,IN,46220-5545,
3333 E 56TH ST,INDIANAPOLIS,46220-0000,0008,510,802069145,,N,313500,IN,46220-5423,
943 JUNCTION PL,INDIANAPOLIS,46220-0000,0008,550,824372220,05/28/2015,N,283300,IN,46220-4278,
923 JUNCTION PL,INDIANAPOLIS,46220-0000,0008,550,824372220,06/01/2016,N,297000,IN,46220-4278,
6435 N RURAL ST,INDIANAPOLIS,46220-0000,0008,510,802270140,07/18/2012,N,175400,IN,46220-0000,
2104 E 52ND ST,INDIANAPOLIS,46220-0000,0008,431,8431300,,N,35300,IN,46205-1406,
3600 DELMAR RD,INDIANAPOLIS,46220-0000,0008,510,801965093,12/13/2013,N,143600,IN,46220-5586,
6034 HILLSIDE AVE E DR,INDIANAPOLIS,46220-0000,0008,510,802179190,09/23/2011,N,225400,IN,46220-2416,
5948 HILLSIDE AVE W DR,INDIANAPOLIS,46220-0000,0008,510,802166150,,N,244100,IN,46220-2418,
5933 EVANSTON AV,INDIANAPOLIS,46220-0000,0008,510,802179190,06/13/2018,N,268500,IN,46220-2441,
5507 HAVERFORD AV,INDIANAPOLIS,46220-0000,0008,510,802079190,,N,156000,IN,46220-3330,
5419 ROSSLYN AV,INDIANAPOLIS,46220-0000,0008,510,802079190,10/03/2011,N,178500,IN,46220-0000,
2340 E 65TH ST,INDIANAPOLIS,46220-0000,0008,510,802278190,07/21/2017,N,128700,IN,46220-2141,
6706 N KEYSTONE AV,INDIANAPOLIS,46220-0000,0008,510,802278190,05/10/2017,N,108800,IN,46250-1861,
6635 LOWANNA WA,INDIANAPOLIS,46220-0000,0004,510,403582135,04/02/2013,N,296600,IN,46220-4364,
5947 INDIANOLA AV,INDIANAPOLIS,46220-0000,0008,500,802178185,06/09/2017,N,1500,IN,46220-2754,
6191 ROSSLYN AV,INDIANAPOLIS,46220-0000,0008,510,802178185,09/07/2018,N,240200,IN,46220-2020,
6410 CORNELL AV,INDIANAPOLIS,46220-0000,0008,420,8420303,,N,192300,IN,46250-2454,
6180 HILLCREST LN,INDIANAPOLIS,46220-0000,0004,510,435082150,,N,387000,IN,46220-4988,
5907 WYCOMBE LN,INDIANAPOLIS,46220-0000,0004,510,404182174,07/02/2015,N,385000,IN,46220-5370,
6418 WELHAM RD,INDIANAPOLIS,46220-0000,0004,510,403382131,03/23/2012,N,243800,IN,46220-0000,
6215 COLEBROOK DR,INDIANAPOLIS,46220-0000,0004,510,403382131,11/04/2013,N,242800,IN,46220-4203,
6207 WELHAM RD,INDIANAPOLIS,46220-0000,0004,510,403382131,08/22/2017,N,259100,IN,46220-4241,
6325 WELHAM RD,INDIANAPOLIS,46220-0000,0004,510,403382131,,N,276900,IN,46220-4243,
7014 CREEKSIDE LN,INDIANAPOLIS,46220-0000,0004,510,403382131,09/01/2016,N,310800,IN,46220-4212,
6638 MARMONT CI,INDIANAPOLIS,46220-0000,0004,510,403382131,,N,283800,IN,46220-4231,
920 E 62ND ST,INDIANAPOLIS,46220-0000,0008,550,803972225,,N,170300,IN,46220-0000,
6921 WESLEY CT,INDIANAPOLIS,46220-0000,0008,550,802472147,04/29/2019,N,195700,IN,46220-1131,
6140 WINNPENY LN,INDIANAPOLIS,46220-0000,0008,510,801865121,07/09/2013,N,168900,IN,46220-0000,
4602 KESSLER LN E DR,INDIANAPOLIS,46220-0000,0008,510,801865121,07/14/2009,N,160900,IN,46220-0000,
4510 KESSLER LN E DR,INDIANAPOLIS,46220-0000,0008,510,801865121,06/17/2013,N,169600,IN,46220-5206,
4926 KESSLER VIEW DR,INDIANAPOLIS,46220-0000,0008,511,801966102,05/04/2017,N,160100,IN,46220-5305,
4849 E 64TH ST,INDIANAPOLIS,46220-0000,0008,511,813577135,,N,173200,IN,46220-4727,
5803 SHERMAN AV,INDIANAPOLIS,46220-0000,0008,510,801875135,04/29/2011,N,210300,IN,46220-5421,
5656 RALSTON AV,INDIANAPOLIS,46220-0000,0008,510,802178185,,N,114900,IN,46220-3428,
5755 PRIMROSE AV,INDIANAPOLIS,46220-0000,0008,510,802178185,08/19/2009,N,181000,IN,46220-0000,
1207 NICHOLAS RD,INDIANAPOLIS,46220-0000,0008,510,802071160,,N,205100,IN,46220-3237,
5905 N EWING ST,INDIANAPOLIS,46220-0000,0008,510,801871160,,N,152300,IN,46220-5142,
6017 N OAKLAND AV,INDIANAPOLIS,46220-0000,0008,510,802169155,12/13/2012,N,153200,IN,46307-0000,
6296 RUCKER RD,INDIANAPOLIS,46220-0000,0008,447,8447304,,N,13600,IN,46220-0000,
6160 AUTUMN LN,INDIANAPOLIS,46220-0000,0004,510,435082150,,N,256500,IN,46220-5006,
4271 E 71ST ST,INDIANAPOLIS,46220-0000,0008,511,801777200,,N,339800,IN,46220-3863,
1223 NICHOLAS RD,INDIANAPOLIS,46220-0000,0008,510,802071160,03/12/2018,N,159900,IN,46220-3237,
6323 BREAMORE RD,INDIANAPOLIS,46220-0000,0004,510,403982139,12/08/2009,N,178100,IN,46220-0000,
6435 BREAMORE RD,INDIANAPOLIS,46220-0000,0004,510,403982139,02/11/2019,N,280700,IN,46220-0000,
4528 SPRUCE KNOLL LN,INDIANAPOLIS,46220-0000,0008,510,801880102,,N,176400,IN,46220-6332,
5241 E 69TH ST,INDIANAPOLIS,46220-0000,0008,510,801166130,05/12/2016,N,227100,IN,46220-3831,
5029 E 69TH ST,INDIANAPOLIS,46220-0000,0008,510,801166130,04/15/2013,N,187900,IN,46220-0000,
6305 ALLISONVILLE RD,INDIANAPOLIS,46220-0000,0008,511,813577135,01/06/2016,N,233100,IN,46220-4545,
6001 BIRCHWOOD AV,INDIANAPOLIS,46220-0000,0008,510,803775205,06/15/2018,N,227700,IN,46220-2032,
1148 E 56TH ST,INDIANAPOLIS,46220-0000,0008,510,802174175,,N,178000,IN,46220-3222,
6046 MARGAUX LN,INDIANAPOLIS,46220-0000,0004,510,404582138,,N,358900,IL,60015-3856,
6553 CALAIS CI,INDIANAPOLIS,46220-0000,0004,510,404582138,,N,418100,IN,46220-5000,
5549 FALL CREEK RD,INDIANAPOLIS,46220-0000,0004,510,404182174,11/03/2010,N,553500,IN,46220-0000,
6046 CENTRAL AV,INDIANAPOLIS,46220-0000,0008,510,803275225,,N,347300,IN,46220-1810,
6218 INDIANOLA AV,INDIANAPOLIS,46220-0000,0008,510,802178185,08/31/2017,N,219000,IN,46220-2018,
6942 CRICKLEWOOD RD,INDIANAPOLIS,46220-0000,0004,510,403382131,10/03/2014,N,204100,IN,46220-4117,
7011 CRICKLEWOOD RD,INDIANAPOLIS,46220-0000,0004,510,403382131,04/26/2017,N,268300,IN,46220-4118,
5511 E 62ND PL,INDIANAPOLIS,46220-0000,0004,510,403982139,,N,240900,IN,46220-4901,
6131 BRAMSHAW RD,INDIANAPOLIS,46220-0000,0004,510,403982139,08/31/2017,N,230500,IN,46220-4911,
6309 GRAHAM RD,INDIANAPOLIS,46220-0000,0004,500,403982139,,N,10400,IN,46220-4937,
2930 E 62ND ST,INDIANAPOLIS,46220-0000,0008,520,802269135,,N,147900,IN,46220-4438,
5517 N DREXEL AV,INDIANAPOLIS,46220-0000,0008,510,801969116,05/09/2016,N,118300,IN,46220-5735,
6702 SUNNY LN,INDIANAPOLIS,46220-0000,0008,510,801769162,12/06/2017,N,366100,IN,46220-3774,
5876 LINTON LN,INDIANAPOLIS,46220-0000,0008,510,801865121,12/01/2014,N,146000,IN,46220-5355,
5815 LINTON LN,INDIANAPOLIS,46220-0000,0008,510,801865121,,N,180900,DC,20090-0843,
6130 HYTHE RD,INDIANAPOLIS,46220-0000,0004,510,403382131,11/13/2014,N,286900,IN,46220-4150,
6716 FARMLEIGH DR,INDIANAPOLIS,46220-0000,0004,510,403382131,,N,286200,IN,46220-4125,
6002 FARMLEIGH DR,INDIANAPOLIS,46220-0000,0004,510,403382131,03/06/2019,N,236100,IN,46256-3903,
6825 FARMLEIGH DR,INDIANAPOLIS,46220-0000,0004,510,403382131,,N,265500,IN,46220-4124,
6150 AUTUMN LN,INDIANAPOLIS,46220-0000,0004,510,435082150,,N,344100,IN,46220-5006,
5533 E LAKELAND DR,INDIANAPOLIS,46220-0000,0008,510,801166130,,N,145400,IN,46220-4027,
5771 ROLLING PINES CT,INDIANAPOLIS,46220-0000,0008,510,801865121,,N,297100,IN,46220-5438,
6245 BREAMORE RD,INDIANAPOLIS,46220-0000,0004,510,403982139,01/10/2014,N,206100,IN,46220-4921,
6226 HARBRIDGE RD,INDIANAPOLIS,46220-0000,0004,510,403982139,,N,276300,IN,46220-4946,
6427 HARBRIDGE RD,INDIANAPOLIS,46220-0000,0004,510,403982139,,N,219100,IN,46220-4945,
6084 FALL CREEK RD,INDIANAPOLIS,46220-0000,0004,510,435082150,,N,394800,IN,46220-5031,
6842 MARMONT CT,INDIANAPOLIS,46220-0000,0004,510,403582135,04/17/2017,N,289700,IN,46220-4234,
3712 DELMAR RD,INDIANAPOLIS,46220-0000,0008,510,801965093,,N,128000,IN,46220-5559,
716 E 70TH PL,INDIANAPOLIS,46220-0000,0008,511,819077190,,N,383700,IN,46220-1064,
5817 CRESTVIEW AV,INDIANAPOLIS,46220-0000,0008,510,802174175,10/08/2013,N,280300,TX,77433-3130,
5869 CARVEL AV,INDIANAPOLIS,46220-0000,0008,510,802174175,,N,246100,IN,46220-2648,
6701 N OLNEY ST,INDIANAPOLIS,46220-0000,0008,510,801765120,,N,264800,IN,46220-3756,
6706 N OLNEY ST,INDIANAPOLIS,46220-0000,0008,510,801777200,,N,209800,IN,46220-3759,
1211 CRAWFORD DR,INDIANAPOLIS,46220-0000,0008,510,802079190,07/17/2017,N,216900,IN,46220-3229,
5420 HAVERFORD AV,INDIANAPOLIS,46220-0000,0008,510,802071160,06/19/2018,N,206400,IN,46220-3307,
5917 N OXFORD ST,INDIANAPOLIS,46220-0000,0008,510,802166150,,N,166200,IN,46220-2921,
6174 N OXFORD ST,INDIANAPOLIS,46220-0000,0008,510,802166150,09/02/2016,N,206700,IN,46234-1858,
1138 E 58TH ST,INDIANAPOLIS,46220-0000,0008,510,802174175,09/21/2012,N,382000,IN,46220-0000,
7004 CAROLINE AV,INDIANAPOLIS,46220-0000,0008,510,802271150,08/28/2015,N,132900,IN,46220-0000,
7050 CAROLINE AV,INDIANAPOLIS,46220-0000,0008,510,802271150,06/13/2018,N,213100,IN,46220-1361,
6060 GLADDEN DR,INDIANAPOLIS,46220-0000,0008,500,802470157,04/06/2017,N,18400,IN,46220-0000,
5335 NORWALDO AV,INDIANAPOLIS,46220-0000,0008,510,802074170,,N,126100,IN,46220-3449,
5228 NORWALDO AV,INDIANAPOLIS,46220-0000,0008,510,802074170,07/25/2017,N,139400,IN,46220-3450,
5312 NORWALDO AV,INDIANAPOLIS,46220-0000,0008,510,802074170,,N,146600,IN,46220-3450,
5353 RALSTON AV,INDIANAPOLIS,46220-0000,0008,510,802074170,02/20/2018,N,154800,IN,46220-3423,
5118 HILLSIDE AV,INDIANAPOLIS,46220-0000,0008,510,802066192,08/26/2014,N,130000,IN,46205-1446,
1113 ISLAND WOODS DR,INDIANAPOLIS,46220-0000,0008,550,802472147,07/29/2008,N,202600,IN,46220-1129,
3433 PERIWINKLE WA,INDIANAPOLIS,46220-0000,0008,510,818480100,06/30/2017,N,160600,IN,46220-5488,
5651 MEAD DR,INDIANAPOLIS,46220-0000,0008,510,818380115,06/22/2010,N,160500,IN,46220-0000,
3939 E 65TH ST,INDIANAPOLIS,46220-0000,0008,510,801769162,,N,526600,IN,46220-4449,
6406 MACATUCK DR,INDIANAPOLIS,46220-0000,0004,510,435082150,05/03/2017,N,290100,IN,46220-5039,
6605 EDEN ROC CREST,INDIANAPOLIS,46220-0000,0004,510,403582135,,N,309800,IN,46220-4340,
5621 HAVERFORD AV,INDIANAPOLIS,46220-0000,0008,510,802178185,,N,180400,IN,46220-3330,
